,Name of Movie,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
985,Night Watch,Konstantin Khabenskiy,Vladimir Menshov,Mariya Poroshina," 27,574 ",Action,Fantasy,Horror,Color,-,R
986,Ned Kelly,Heath Ledger,Orlando Bloom,Geoffrey Rush," 32,175",Action,Adventure,Biography,-,-,R
987,Resident Evil: Degeneration,Paul Mercier,Alyson Court,Laura Bailey," 34,908 ",Animation,Action,Horror,Color,-,R
988,Day Watch,Konstantin Khabenskiy,Mariya Poroshina,Vladimir Menshov," 34,323",Action,Fantasy,Horror,Color,-,R
989,Redirected,Vinnie Jones,Scot Williams,Gil Darnell," 37,505",Action,Comedy,Crime,-,-,Not Rated
990,Fast X,Vin Diesel,Michelle Rodriguez,Jason Statham," 56,572",Action,Adventure,Crime,Color,5,PG-13
991,Operation Fortune: Ruse de Guerre,Jason Statham,Aubrey Plaza,Cary Elwes," 246,910 ",Action,Comedy,Thriller,-,87,R
992,Black Adam,Dwayne Johnson,Aldis Hodge,Pierce Brosnan," 228,449 ",Action,Adventure,Fantasy,"$168,152,111",248,PG-13
993,Uncharted,Tom Holland,Mark Wahlberg,Antonio Banderas," 359,635 ",Action,Adventure,-,-,322,PG-13
994,Eternals,Gemma Chan,Richard Madden,Angelina Jolie," 158,152 ",Action,Adventure,Fantasy,"$164,870,234",328,PG-13
995,The King's Man,Ralph Fiennes,Gemma Arterton,Rhys Ifans," 165,845 ",Action,Adventure,Thriller,Color,538,R
996,Dune,Kyle MacLachlan,Virginia Madsen,Francesca Annis," 284,571 ",Action,Adventure,Sci-Fi,"$30,925,690",600,PG-13
997,Terminator Genisys,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke," 608,223 ",Action,Adventure,Sci-Fi,"$89,760,956",659,PG-13
998,Spider-Man 3,Tobey Maguire,Kirsten Dunst,Topher Grace," 220,060 ",Action,Adventure,Sci-Fi,United States,694,PG-13
999,Godzilla vs. Kong,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall," 90,825 ",Action,Sci-Fi,Thriller,Color,750,PG-13
1000,Sky High,Kurt Russell,Kelly Preston,Michael Angarano," 291,228",Action,Comedy,Family,Color,767,PG
1001,Red Notice,Dwayne Johnson,Ryan Reynolds,Gal Gadot," 202,606 ",Action,Comedy,Thriller,-,814,PG-13
1002,Knight and Day,Tom Cruise,Cameron Diaz,Peter Sarsgaard," 229,481 ",Action,Adventure,Comedy,"$76,423,035",908,PG-13
1003,Ocean's Eight,Sandra Bullock,Cate Blanchett,Anne Hathaway," 60,167 ",Action,Comedy,Crime,-,"1,122",PG-13
1004,Red Dawn,Patrick Swayze,C. Thomas Howell,Lea Thompson," 171,810 ",Action,Drama,Thriller,Color,"1,256",PG-13
1005,King Arthur,Clive Owen,Stephen Dillane,Keira Knightley," 142,416 ",Action,Adventure,Drama,Color,"1,349",PG-13
1006,The Last Stand,Arnold Schwarzenegger,Forest Whitaker,Johnny Knoxville," 137,870 ",Action,Thriller,Western,Color,"1,389",R
1007,The Shallows,Blake Lively,Óscar Jaenada,Angelo Josue Lozano Corzo," 25,355",Action,Drama,Horror,-,"1,427",PG-13
1008,Run Hide Fight,Isabel May,Radha Mitchell,Thomas Jane," 219,742 ",Action,Crime,Drama,-,"1,504",TV-MA
1009,Tomb Raider,Alicia Vikander,Dominic West,Walton Goggins," 94,263",Action,Adventure,Fantasy,"$58,250,803","1,522",PG-13
1010,Polar,Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick," 220,782 ",Action,Thriller,-,-,"1,742",TV-MA
1011,Ghost in the Shell,Scarlett Johansson,Pilou Asbæk,Takeshi Kitano," 407,882 ",Action,Crime,Drama,"$40,563,557","1,852",PG-13
1012,Terminator 3: Rise of the Machines,Arnold Schwarzenegger,Nick Stahl,Kristanna Loken," 202,354 ",Action,Sci-Fi,-,"$150,371,112","1,864",R
